text_id_kaggle,human,fold,pred_handfeat_oof,pred_tfidf_oof,pred_embed_oof,pred_handfeat_lopo,pred_tfidf_lopo,pred_embed_lopo,pred_finetuned_oof
5661280443,4.0,0,2.944212554612101,2.875076945642139,3.497166633605957,2.940074385883646,2.90774433846613,3.277663230895996,3.8957557678222656
0016926B079C,3.5,1,3.144146810058466,3.25312902911713,3.3203811645507812,3.123750775709411,3.3319049708034845,3.5073750019073486,3.391855239868164
0022683E9EA5,2.5,2,2.824522194162538,2.839232165097842,2.8085689544677734,2.8236357675506305,2.895155534283842,2.763586044311523,3.161085605621338
00299B378633,3.0,3,3.042134946371345,3.147370901665438,3.0074045658111572,3.0335058741183833,3.171146266392729,2.8897624015808105,3.2059080600738525
003885A45F42,4.5,0,3.436692287041476,3.527623861165911,3.389047145843506,3.4542397887372127,3.6477051555362463,3.4882020950317383,4.0107502937316895
0049B1DF5CCC,3.0,1,2.619880301280898,2.712499389650166,2.5319857597351074,2.6130678535169505,2.531860263007534,2.494474172592163,2.741720676422119
004AC288D833,4.0,2,2.947236221759727,3.217485353008886,3.7592148780822754,2.9495170223531675,3.1297763201216244,3.502725839614868,3.5184569358825684
008DDDDD8E8D,2.5,0,2.8776232959177817,2.3770982197430244,2.7190825939178467,2.868027830664984,2.5127718701861324,2.8055386543273926,2.6657299995422363
009BCCC61C2A,3.0,2,3.5087724663546886,3.641443035115235,3.435931921005249,3.5153995795329447,3.34563026966556,3.3280529975891113,3.7079379558563232
009F4E9310CB,3.0,1,3.3239901584084746,2.8898759870990696,2.9149577617645264,3.311519095234585,2.7691489976105608,2.928727388381958,3.279568672180176
00B21F9B726F,3.0,3,2.8509607295781145,3.2388988824070877,3.088491916656494,2.835408079830625,3.5451345891569996,3.306437730789185,3.4181933403015137
00BCADB373EF,3.5,3,3.512835181152966,3.1291816082254664,3.252033948898315,3.5064994257200452,3.063052853575773,3.037370443344116,3.8771650791168213
00D281524375,3.0,3,2.958628616984234,3.0888953597462905,2.7381601333618164,2.9916610353977173,3.1053341267312384,2.574000358581543,2.9213502407073975
00ED2563D0B1,3.0,0,3.5106154850109395,3.853793700676934,3.441373109817505,3.5165633380352883,3.755904107640624,3.244901180267334,4.48304557800293
011AAA636F11,4.0,0,3.34703939526955,3.5335068524620925,3.4211313724517822,3.340199584194661,3.463342644341688,3.560577869415283,3.965409994125366
01350DF42AED,2.0,2,2.7766936130270747,2.3467113144278344,2.385953664779663,2.796353610396732,2.301580750087023,2.329404592514038,2.236849546432495
01405C3C569D,3.0,3,2.889513078388533,2.5547932553092085,3.035931348800659,2.874868406736661,2.2832222034977776,2.845275402069092,2.360499382019043
01501F95B8B2,3.5,0,3.2818000235582265,4.10395688652455,3.7977981567382817,3.2946065747481774,3.996752702823145,3.898193120956421,4.060262680053711
01794F5F1423,3.0,2,3.1059800319031092,3.6426600781943512,3.356637477874756,3.0933074758455192,3.3943076778508714,3.25463342666626,3.6052253246307373
017D2125A1DE,2.5,2,3.297490176131638,3.044785719386336,3.146623134613037,3.3029502702730524,2.9249234534107433,3.1793458461761475,2.373655080795288
01911AC9674D,2.5,4,3.0199584218030364,3.038208693689616,3.433170795440674,3.0283808892723503,3.1480747298190144,3.387721538543701,2.9341201782226562
019BDC9DF7CD,3.0,2,2.7317103962178857,2.8379416513756897,3.2628424167633057,2.769322141221892,3.2585127266775857,3.4599764347076416,3.3492066860198975
01A65BA4080E,4.0,2,3.213605993478322,3.512685392059315,3.4233176708221436,3.1920945195608885,3.3886826741845217,3.3735971450805664,3.8554604053497314
01B3FDB3FD57,4.5,2,3.7426847084093393,3.6028151266629567,3.2800416946411133,3.739780617081296,3.543889840435076,3.317494630813598,3.722883701324463
01C53183305A,2.0,0,2.639394450164152,2.554056278956166,1.922538995742798,2.6374149575519588,2.8308619713732694,2.1325716972351074,2.3545913696289062
0230A077F5B6,2.5,0,3.2328352371607254,2.526325934022404,2.744432210922241,3.2290862200589237,2.4138506343870016,2.5491788387298584,2.781776189804077
025722D0AFB7,4.0,2,3.439492449603332,3.540633640703267,3.536428213119507,3.4403064454265437,3.637297564608472,3.6712026596069336,4.016745090484619
027CB6393714,3.0,0,3.054150663438738,3.1319492011101073,3.2118940353393555,3.0556912375130914,3.2342956445352735,3.2287895679473877,3.444323778152466
02B07248077F,2.5,0,2.7518889384980234,2.070409847360311,2.4319629669189453,2.734346152328839,2.172501727977971,2.5526106357574463,2.2758822441101074
02B36EBD5C66,4.0,1,3.3369233379408554,3.153508719648298,3.3499200344085693,3.3288271904417823,3.1505362464819804,3.5291407108306885,3.367828845977783
0316F6288791,2.5,2,3.2187989145747498,3.108402047655214,3.1759350299835205,3.257345730892443,3.145963027988416,3.372624397277832,3.119415044784546
032EA4B76BF5,3.5,4,2.7156653012350698,3.04255107596615,3.198944330215454,2.7311951366252347,3.0549476882919695,3.0006866455078125,3.4877309799194336
0369AD4B5726,2.5,0,3.75650471698298,3.9708540131178127,3.551593780517578,3.773888925312965,3.9215325572302735,3.8896484375,3.6994049549102783
037C88B5B111,3.0,1,3.459834528869038,3.499460995249674,3.571967601776123,3.4645814910579116,3.494294425819185,3.704967737197876,3.5418453216552734
037ED3EA2982,3.0,3,3.435449025165706,3.756688493376005,3.627508163452149,3.4209023660875637,3.513160074353931,3.526390314102173,3.101496696472168
0381BBE47393,3.5,2,3.2439410403257307,3.519295068145831,3.3701136112213135,3.256313991487367,3.49681333555974,3.263474225997925,3.9135375022888184
0383E4A36E46,3.5,3,3.468487281148838,3.6038768019296143,3.5617423057556152,3.456526605427828,3.3429818537482032,3.345618724822998,3.652022361755371
03844422EA75,1.0,2,1.2958863336032862,2.4650086763173533,1.836257815361023,1.3260112822292736,2.4037881927420046,1.48027241230011,2.147810220718384
038480498E5A,3.5,1,3.060639053616336,3.4583975434345926,3.694319486618042,3.084481330706663,3.3033452809088235,3.4231395721435547,3.5446841716766357
03A3B40D651B,3.0,3,3.1762101099019513,2.739179866310429,3.2046236991882324,3.1724649147035153,2.7728075628182025,3.258747816085815,3.163290500640869
03C9E7A15C42,2.5,1,2.659098944506917,2.6695929691591815,2.23873233795166,2.6730583257826264,2.6601753200991394,2.2242953777313232,2.848437786102295
03CB73341E0E,4.0,3,3.2359568213104266,3.2350532476500096,3.1509649753570557,3.24369387997536,3.2910265465283675,3.3372881412506104,3.8336548805236816
03CC97D3747E,5.0,0,3.5350691283533933,3.481674529902194,3.690972805023194,3.5222937526458065,3.5825630021510637,3.5897116661071777,3.7818260192871094
03D00899C901,2.5,3,2.8461091231160505,3.040754641666843,3.0357706546783447,2.82899747104799,2.903183649728256,2.8502564430236816,2.9708473682403564
