panel_id,human,fold,pred_handfeat_oof,pred_tfidf_oof,pred_embed_oof,pred_handfeat_lopo,pred_tfidf_lopo,pred_embed_lopo
train/5.40889E+12,3.0,1,3.0237061875244615,3.9923865222229695,3.9925625324249268,2.982886450550162,3.326239969806749,3.5889225006103516
train/5.15292E+12,3.0,1,2.4705534386010988,3.524702590669028,2.6751787662506104,2.4603839814264292,2.9347670558187984,2.009216070175171
train/4.84513E+12,4.0,3,3.492983918309104,3.7951550879243205,3.889600992202759,3.477334496482138,3.5979374184963078,3.5622382164001465
train/5.14559E+12,4.0,4,4.402156171121479,4.726678632463795,4.251860618591309,4.365265466444102,4.167544864336491,3.728858709335327
train/5.39515E+12,4.0,3,3.0128647527367534,3.6239936611899912,3.7406718730926514,2.9598458510973047,2.90535262478196,3.191178321838379
train/5.67172E+12,5.0,1,4.205555311827475,4.211849172572118,4.656187057495117,4.179370508469204,3.412450669771818,4.141459941864014
train/5.76161E+12,4.0,4,3.9251138306639586,3.865478364295185,4.410398960113525,3.911966120366304,3.4109663173657805,3.8980774879455566
train/5.32398E+12,4.0,0,4.082044704332267,4.61084774675906,4.242464065551758,4.0555410241595355,4.3167756718080845,3.7846620082855225
train/5.32799E+12,3.0,4,3.528265518596628,3.6728759828400865,4.794674873352051,3.499629237780147,3.338308067418745,4.16337251663208
train/5.26244E+12,2.0,3,3.7644928662921053,3.7063433671087203,4.289828300476074,3.728955829041145,3.7987376479911705,4.07412052154541
train/5.87431E+12,2.0,1,1.8215378138078648,2.7791353348601953,2.1272244453430176,1.7875103170727216,2.0983628056202646,1.4095547199249268
train/5.47949E+12,4.0,4,3.8040638066097645,4.49556322316173,4.617179870605469,3.7673359814662684,3.970547499714798,4.172891139984131
train/4.28022E+12,3.0,4,2.836709476621589,3.3339853219494313,3.2600626945495605,2.8010479906214343,3.129495659683408,2.8848516941070557
train/5.84237E+12,3.0,3,2.4650688275151107,2.5191470319157765,3.007260322570801,2.4683274987860777,2.430332044230161,2.4048309326171875
train/5.6727E+12,6.0,2,4.278795419841433,4.337587468048065,4.336236000061035,4.257472649149472,3.816500608202512,3.9342141151428223
train/5.4162E+12,4.0,4,4.269823737033558,4.305782494723081,4.233918190002441,4.238140486514405,4.042967117878856,3.60001277923584
train/5.34676E+12,3.0,1,3.0779893448306113,3.340555735932208,4.211692810058594,3.0454295753697895,3.5459332068270304,3.686934471130371
train/4.92656E+12,4.0,2,3.3842228205358045,3.7062482034966853,4.323938369750977,3.346674496025817,3.028994274388394,3.678957462310791
train/5.38448E+12,4.0,2,4.269189045401128,4.4851767303902275,4.029044151306152,4.2415974732707005,4.437734778413487,3.6387293338775635
train/5.11945E+12,4.0,2,3.413596543246297,4.180994909635883,3.8945345878601074,3.3802809319629628,3.86383666755557,3.50643253326416
train/5.74229E+12,5.0,3,3.705022096943928,3.7917825829110003,3.6147611141204834,3.6646495740822185,3.381186598892785,3.3162221908569336
train/5.69482E+12,4.0,2,3.014602522086093,3.3718412134844864,3.9194650650024414,2.9754623889596155,2.7970981307052356,3.5173726081848145
train/4.86022E+12,4.0,1,3.609078643028563,3.8102709200374005,4.089165210723877,3.569733218597305,3.1438352775277894,3.5500853061676025
train/4.84092E+12,4.0,4,3.7469474020063367,4.362415223818971,4.176498889923096,3.735949459801057,3.7923195577016298,3.661144495010376
train/5.30939E+12,5.0,0,3.7927720663862434,4.334878748468314,4.267242908477783,3.775414741334405,3.6397723643993496,3.584049701690674
train/5.49822E+12,4.0,1,2.8005638816549876,2.845341042534959,3.308912754058838,2.7809011331594338,2.598380305353447,2.7234561443328857
train/5.34623E+12,5.0,0,4.0868958769036166,4.116014789790471,4.175539016723633,4.05925723821095,3.6369235531644657,3.7275044918060303
train/5.56095E+12,4.0,0,3.9221819497924733,4.512371919954759,4.39846658706665,3.8639217235220817,3.6532328290363107,3.6451187133789062
train/5.66689E+12,3.0,2,2.5522349995607483,2.446043116395603,3.0356035232543945,2.5438741994450433,2.011388901482859,2.691845417022705
train/5.65992E+12,3.0,1,3.2736643797200458,3.8015325318352167,3.9474282264709473,3.2444105970048467,3.5341824024147384,3.3287837505340576
